trial_idx	dataset	category	gold_kind	seed_text	gold_answer	closed_answer	closed_correctness	closed_unc	probed	generator_q	critic_q	challenger_q	final_probe	rag_answer	rag_correctness	rag_unc	delta_unc	contradiction	recovered
11	phoenix	statistical	integer_count	How many rape incidents were reported in Phoenix in 2017?	1054	According to the FBI's Uniform Crime Reporting (UCR) Program, there were 1,068 reported incidents of rape in Phoenix in 2017.	incorrect	1.000	True	Can you clarify why there are conflicting figures for the number of reported rape incidents in Phoenix for 2017 within the FBI's Uniform Crime Reporting data, and provide the official source or table where the definitive count can be verified?	Given the discrepancy between FBI UCR summary data and NIBRS-based reporting for Phoenix in 2017, which specific reporting methodology (Summary Reporting System vs. NIBRS) accounts for the 1,068 figure, and where can the raw, audit-verified dataset be accessed to reconcile this count against the Phoenix Police Department’s own annual statistical reports?	"Considering that the Phoenix Police Department’s 2017 Annual Report lists a significantly different figure than the FBI’s 1,068 count due to the exclusion of ""attempted"" rapes and variations in hierarchy rule application, how many of those 1,068 incidents were reclassified as ""unfounded"" following internal department audits, and what is the exact numerical impact of these reclassifications on the city's official violent crime clearance rate for that year?"	"Considering that the Phoenix Police Department’s 2017 Annual Report lists a significantly different figure than the FBI’s 1,068 count due to the exclusion of ""attempted"" rapes and variations in hierarchy rule application, how many of those 1,068 incidents were reclassified as ""unfounded"" following internal department audits, and what is the exact numerical impact of these reclassifications on the city's official violent crime clearance rate for that year?"	There were 1,054 rape incidents reported in Phoenix in 2017.	correct	0.000	-1.000	True	True
12	phoenix	statistical	integer_count	How many aggravated assault incidents were reported in Phoenix in 2018?	5392	According to the Phoenix Police Department's 2018 Uniform Crime Reporting (UCR) data, there were 5,557 reported incidents of aggravated assault.	incorrect	0.828	True	Can you clarify why there are significant discrepancies in the reported number of aggravated assault incidents for Phoenix in 2018 across different FBI Uniform Crime Reporting (UCR) datasets, and which specific data source or report version should be considered the official record?	Given that Phoenix Police Department internal reports and FBI UCR submissions for 2018 often show conflicting aggravated assault totals, which specific reporting methodology (e.g., Summary Reporting System vs. NIBRS) or official document should be used to reconcile these discrepancies, and how does the chosen source account for the exclusion or inclusion of specific incident types?	"If the 5,557 figure is derived from the Summary Reporting System, how does that total reconcile with the NIBRS-compliant data for 2018, specifically regarding the ""hierarchy rule"" that forces the exclusion of aggravated assaults when they occur alongside more serious offenses like homicide, and what is the estimated numerical impact of this exclusion on the final count?"	"If the 5,557 figure is derived from the Summary Reporting System, how does that total reconcile with the NIBRS-compliant data for 2018, specifically regarding the ""hierarchy rule"" that forces the exclusion of aggravated assaults when they occur alongside more serious offenses like homicide, and what is the estimated numerical impact of this exclusion on the final count?"	There were 5,392 aggravated assault incidents reported in Phoenix in 2018.	correct	0.000	-0.828	True	True
13	phoenix	statistical	integer_count	How many larceny-theft incidents were reported in Phoenix in 2023?	25928	According to the Phoenix Police Department's 2023 Uniform Crime Reporting (UCR) data, there were 40,689 reported incidents of larceny-theft.	incorrect	0.590	True	Can you provide a direct link or cite the specific official Phoenix Police Department report or dashboard that confirms the exact number of larceny-theft incidents for 2023, given that various sources report conflicting figures between 40,689 and 48,220?	"Which specific Phoenix Police Department data source—such as the Open Data portal, the annual UCR summary, or the NIBRS-compliant dashboard—accounts for the discrepancy between the 40,689 and 48,220 larceny-theft figures, and how does the department’s methodology for classifying ""larceny-theft"" explain this variance?"	"Given that the Phoenix Police Department transitioned to NIBRS reporting, how do you reconcile the 40,689 larceny-theft figure with the fact that NIBRS methodology often reclassifies ""larceny"" incidents into ""burglary"" or ""motor vehicle theft"" categories, and does this reported total include or exclude the significant volume of ""shoplifting"" incidents that were historically categorized as larceny but are now frequently diverted to civil resolution programs?"	"Given that the Phoenix Police Department transitioned to NIBRS reporting, how do you reconcile the 40,689 larceny-theft figure with the fact that NIBRS methodology often reclassifies ""larceny"" incidents into ""burglary"" or ""motor vehicle theft"" categories, and does this reported total include or exclude the significant volume of ""shoplifting"" incidents that were historically categorized as larceny but are now frequently diverted to civil resolution programs?"	There were 25,928 larceny-theft incidents reported in Phoenix in 2023.	correct	0.000	-0.590	True	True
14	phoenix	statistical	integer_count	How many aggravated assault incidents were reported in Phoenix in 2019?	5538	According to the Phoenix Police Department's 2019 Uniform Crime Reporting (UCR) data, there were 7,651 reported incidents of aggravated assault.	incorrect	0.590	True	Why do the reported numbers for aggravated assault in Phoenix in 2019 vary between 7,226, 7,639, and 7,651 across different FBI and Phoenix Police Department data sources?	To what specific methodological differences in data processing—such as the FBI’s Hierarchy Rule versus the Phoenix Police Department’s internal incident-based reporting—can the discrepancy between the 7,226, 7,639, and 7,651 reported aggravated assault figures for 2019 be attributed?	"Given that the Phoenix Police Department transitioned to NIBRS reporting during this period, how can you reconcile the 7,651 figure with the fact that NIBRS-compliant data often yields higher counts due to the removal of the Hierarchy Rule, and which specific subset of these incidents—if any—were reclassified as ""simple assaults"" under the stricter NIBRS definitions, thereby artificially deflating the aggravated assault total for that year?"	"Given that the Phoenix Police Department transitioned to NIBRS reporting during this period, how can you reconcile the 7,651 figure with the fact that NIBRS-compliant data often yields higher counts due to the removal of the Hierarchy Rule, and which specific subset of these incidents—if any—were reclassified as ""simple assaults"" under the stricter NIBRS definitions, thereby artificially deflating the aggravated assault total for that year?"	There were 5,538 aggravated assault incidents reported in Phoenix in 2019.	correct	0.000	-0.590	True	True
15	phoenix	statistical	integer_count	How many burglary incidents were reported in Phoenix in 2023?	5258	According to the Phoenix Police Department's 2023 Uniform Crime Reporting (UCR) data, there were 7,333 reported burglary incidents in Phoenix in 2023.	incorrect	0.828	True	Can you clarify the specific source or official report from the Phoenix Police Department that provides the definitive count of burglary incidents for 2023, and explain why there is significant variance in the figures reported across different data summaries?	Which specific Phoenix Police Department data set—such as the UCR/NIBRS annual summary or the Open Data portal’s raw incident logs—serves as the official record for the 7,333 burglary figure, and how does this count reconcile with the differing totals found in the department’s monthly CompStat reports for the same year?	"Given that the Phoenix Police Department transitioned to NIBRS reporting standards, how do you account for the discrepancy between the 7,333 figure and the ""Total Burglary"" counts in the 2023 CompStat reports, specifically when excluding ""attempted"" burglaries and residential-only incidents to isolate actual completed property crimes?"	"Given that the Phoenix Police Department transitioned to NIBRS reporting standards, how do you account for the discrepancy between the 7,333 figure and the ""Total Burglary"" counts in the 2023 CompStat reports, specifically when excluding ""attempted"" burglaries and residential-only incidents to isolate actual completed property crimes?"	There were 5,258 burglary incidents reported in Phoenix in 2023.	correct	0.000	-0.828	True	True
16	phoenix	statistical	integer_count	How many motor vehicle theft incidents were reported in Phoenix in 2018?	6911	According to the Phoenix Police Department's 2018 annual report, there were 10,768 motor vehicle theft incidents reported that year.	incorrect	1.000	True	Given the significant discrepancies between the Phoenix Police Department's internal reports and the FBI's UCR data, what specific methodology or reporting criteria accounts for the variation in the number of motor vehicle thefts reported for Phoenix in 2018?	What specific differences in reporting criteria—such as the exclusion of attempted thefts or variations in jurisdictional boundaries—account for the discrepancy between the Phoenix Police Department’s reported 10,768 motor vehicle thefts and the figure recorded in the FBI’s Uniform Crime Reporting (UCR) database for 2018?	"Excluding vehicle thefts recovered within 24 hours and incidents categorized as ""unauthorized use"" rather than ""theft,"" how does the 2018 Phoenix crime data reconcile the discrepancy between the Phoenix Police Department’s internal tally and the FBI’s UCR standards, and what specific percentage of the 10,768 reported incidents would be reclassified if the FBI’s stricter ""intent to permanently deprive"" criteria were applied?"	"Excluding vehicle thefts recovered within 24 hours and incidents categorized as ""unauthorized use"" rather than ""theft,"" how does the 2018 Phoenix crime data reconcile the discrepancy between the Phoenix Police Department’s internal tally and the FBI’s UCR standards, and what specific percentage of the 10,768 reported incidents would be reclassified if the FBI’s stricter ""intent to permanently deprive"" criteria were applied?"	There were 6,911 motor vehicle theft incidents reported in Phoenix in 2018.	correct	0.000	-1.000	True	True
17	phoenix	comparative	comparison_winner	In Phoenix, are robbery incidents more common at parking lot or convenience market / store?	PARKING LOT	According to Phoenix Police Department crime statistics, robbery incidents occur more frequently in parking lots/garages than at convenience stores. Parking lots are consistently among the top locations for robbery reports in the city.	correct	0.000	False							0.000	+0.000	False	False
18	phoenix	comparative	comparison_winner	In Phoenix, are aggravated assault incidents more common at apartment or single family house?	APARTMENT	According to Phoenix Police Department crime statistics, aggravated assault incidents are significantly more common at apartment complexes than at single-family houses. This trend is generally attributed to the higher population density and shared common areas found in multi-family residential properties.	correct	0.000	False							0.000	+0.000	False	False
19	phoenix	comparative	comparison_winner	In Phoenix, are drug offense incidents more common at vehicle or parking lot?	VEHICLE	According to Phoenix Police Department crime statistics, drug offense incidents are significantly more common in parking lots than in vehicles. Parking lots are frequently identified as high-activity locations for narcotics-related offenses in public reporting data.	incorrect	0.000	True	"Can you provide the specific statistical data or report from the Phoenix Police Department that distinguishes between ""parking lot"" and ""vehicle"" as primary location categories for drug offenses, and how does the department's reporting methodology account for incidents that occur inside a vehicle while parked in a lot?"	"Can you provide the specific Phoenix Police Department data or methodology report that distinguishes ""parking lot"" from ""vehicle"" as primary location categories, and how does the department’s crime reporting protocol reconcile incidents where a drug offense occurs inside a vehicle parked within a lot to ensure these events are not double-counted or misclassified?"	"Given that Phoenix Police Department data often aggregates ""parking lot"" and ""vehicle"" under broader ""public space"" or ""street"" categories, how do you account for the statistical bias introduced by high-density transient zones like the downtown core versus suburban shopping centers, and does the data show that drug offenses in vehicles are actually under-reported because they are frequently reclassified as ""traffic stops"" rather than ""narcotics incidents"" in the official crime logs?"	"Given that Phoenix Police Department data often aggregates ""parking lot"" and ""vehicle"" under broader ""public space"" or ""street"" categories, how do you account for the statistical bias introduced by high-density transient zones like the downtown core versus suburban shopping centers, and does the data show that drug offenses in vehicles are actually under-reported because they are frequently reclassified as ""traffic stops"" rather than ""narcotics incidents"" in the official crime logs?"	Based on the provided records, all three drug offense incidents occurred at a parking lot. The dataset context does not contain any records of drug offenses occurring at a vehicle.	incorrect	0.000	+0.000	False	False
20	phoenix	comparative	comparison_winner	In Phoenix, are larceny-theft incidents more common at apartment or single family house?	APARTMENT	Larceny-theft incidents in Phoenix are generally more common at apartment complexes than at single-family houses. This is largely attributed to higher population density and the increased number of accessible vehicles and common areas found in multi-family residential properties.	correct	0.000	False							0.000	+0.000	False	False
21	phoenix	comparative	comparison_winner	In Phoenix, are motor vehicle theft incidents more common at apartment or street / roadway / sidewalk?	APARTMENT	According to Phoenix Police Department crime statistics, motor vehicle thefts are significantly more common in apartment complex parking lots than on streets, roadways, or sidewalks. Apartment complexes consistently rank among the highest-frequency locations for vehicle theft in the city.	correct	0.311	False							0.000	+0.000	False	False
22	phoenix	comparative	comparison_winner	In Phoenix, are burglary incidents more common at single family house or apartment?	SINGLE FAMILY HOUSE	In Phoenix, burglary incidents are statistically more common at single-family houses than at apartments. This trend is consistent with broader urban crime patterns where detached homes often present more points of entry and greater accessibility than multi-unit residential buildings.	correct	0.000	False							0.000	+0.000	False	False
23	phoenix	comparative	zip_code	Which Phoenix ZIP code had the highest number of larceny-theft incidents overall?	85015	I do not have access to a real-time, comprehensive database of Phoenix crime statistics by ZIP code to definitively identify the current leader. You would need to consult the official Phoenix Police Department’s Open Data portal or their annual crime reports for the most accurate and up-to-date information.	hedged_appropriate	0.311	True	Based on the 2023 Phoenix Police Department crime statistics, which specific ZIP code reported the highest number of larceny-theft incidents?	According to the 2023 Phoenix Police Department crime statistics, which specific ZIP code recorded the highest total volume of larceny-theft incidents, and how does this figure compare to the city-wide average for that same year?	Excluding the downtown core (85003 and 85004), which Phoenix ZIP code recorded the highest per-capita rate of larceny-theft in 2023, and how does this ranking shift if you adjust the data to account for the influx of transient daytime commuters versus permanent residential population?	Excluding the downtown core (85003 and 85004), which Phoenix ZIP code recorded the highest per-capita rate of larceny-theft in 2023, and how does this ranking shift if you adjust the data to account for the influx of transient daytime commuters versus permanent residential population?	The provided dataset context does not contain information regarding the total number of larceny-theft incidents per ZIP code.	hedged_appropriate	0.311	+0.000	False	False
24	phoenix	comparative	zip_code	Which Phoenix ZIP code had the highest number of burglary incidents overall?	85015	I do not have access to a real-time, comprehensive database of Phoenix burglary statistics by ZIP code. You can find the most accurate and current data by visiting the official Phoenix Police Department's crime statistics portal or their public crime mapping tools.	hedged_appropriate	0.311	True	Can you provide the source or historical data set that identifies 85015 as having the highest volume of burglary incidents, and explain how this ranking compares to other high-crime ZIP codes in Phoenix?	Based on Phoenix Police Department crime data from 2023, what specific methodology or statistical report identifies ZIP code 85015 as having the highest volume of burglary incidents, and how does this figure compare to the burglary rates per 1,000 residents in neighboring high-incident ZIP codes like 85008 or 85009?	"How does the 2023 burglary volume for ZIP code 85015 reconcile with the fact that its population density is significantly lower than 85008, and if you normalize these figures by resident count, does the ""highest incident"" ranking shift, or does the data suggest that these burglaries are predominantly targeting commercial properties rather than residential dwellings?"	"How does the 2023 burglary volume for ZIP code 85015 reconcile with the fact that its population density is significantly lower than 85008, and if you normalize these figures by resident count, does the ""highest incident"" ranking shift, or does the data suggest that these burglaries are predominantly targeting commercial properties rather than residential dwellings?"	The provided dataset context does not contain information regarding the number of burglary incidents per ZIP code.	hedged_appropriate	0.000	-0.311	False	False
25	phoenix	comparative	zip_code	Which Phoenix ZIP code had the highest number of motor vehicle theft incidents overall?	85009	According to recent Phoenix Police Department crime statistics, the 85009 ZIP code consistently records the highest number of motor vehicle theft incidents in the city.	correct	0.655	False							0.000	+0.000	False	False
26	phoenix	comparative	zip_code	Which Phoenix ZIP code had the highest number of aggravated assault incidents overall?	85015	"I do not have access to a real-time, comprehensive database of Phoenix crime statistics by ZIP code. You should consult the official Phoenix Police Department's ""Crime Statistics"" portal or their public data dashboard for the most accurate and current information."	hedged_appropriate	0.418	True	Can you provide the specific year or official report source that identifies ZIP code 85009 as having the highest number of aggravated assault incidents, given that other responses claim this data is not accessible?	According to the most recent Phoenix Police Department annual crime report, which specific ZIP code recorded the highest volume of aggravated assault incidents, and how does this figure compare to the total incident count for ZIP code 85009?	Excluding the downtown core (85003 and 85004), which Phoenix ZIP code recorded the highest per-capita rate of aggravated assaults in 2023, and how does this ranking shift if you adjust for the total number of transient or unhoused individuals reported in those specific zones?	Excluding the downtown core (85003 and 85004), which Phoenix ZIP code recorded the highest per-capita rate of aggravated assaults in 2023, and how does this ranking shift if you adjust for the total number of transient or unhoused individuals reported in those specific zones?	The provided dataset context does not contain information regarding the total number of aggravated assault incidents by ZIP code; therefore, it cannot determine which ZIP code had the highest number.	hedged_appropriate	0.000	-0.418	False	False
27	phoenix	ambiguous	hedged	Is crime increasing in Phoenix?	Appropriately hedged answer noting timeframe / category dependency. Per dataset, total incidents 2019-2024 trended down (68838 -> 52803).	According to the Phoenix Police Department's 2023 year-end report, overall violent crime in Phoenix decreased by approximately 6% compared to 2022. However, trends can vary by specific crime category and neighborhood, so I recommend checking the official Phoenix Police Department crime statistics portal for the most current, localized data.	hedged_appropriate	0.590	False							0.000	+0.000	False	False
